Image;Product;Price;Category
https://thumb.pccomponentes.com/w-150-150/articles/1073/10739332/1318-gigabyte-geforce-rtx-4060-eagle-oc-8gb-gddr6-dlss3.jpg;Gigabyte GeForce RTX 4060 EAGLE OC 8GB GDDR6 DLSS3;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/57/577579/1448-sapphire-pulse-amd-radeon-rx-6600-8gb-gddr6-b8854bbd-4604-4ce1-95c9-0ec578da6312.jpg;Sapphire PULSE AMD Radeon RX 6600 8GB GDDR6;257,98;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10810490/1798-msi-geforce-rtx-4070-ti-super-ventus-2x-oc-16gb-gddr6x-dlss3.jpg;MSI GeForce RTX 4070 Ti SUPER VENTUS 2X OC 16GB GDDR6X DLSS3;1099;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1084/10843042/1801-asus-dual-amd-radeon-rx-7900-xt-oc-edition-20gb-gddr6.jpg;ASUS Dual AMD Radeon RX 7900 XT OC Edition 20GB GDDR6;879,33;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1074/10746695/1144-gigabyte-geforce-rtx-4060-ti-gaming-oc-16gb-gddr6-dlss3.jpg;Gigabyte GeForce RTX 4060 Ti Gaming OC 16GB GDDR6 DLSS3;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10814701/1663-asus-dual-geforce-rtx-3050-oc-edition-6gb-gddr6.jpg;ASUS Dual GeForce RTX 3050 OC Edition 6GB GDDR6;249,99;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10819242/129-asus-dual-geforce-rtx-4070-super-evo-oc-edition-12gb-gddr6x-dlss3.jpg;ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X DLSS3;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1084/10847090/1199-msi-ventus-geforce-rtx-4070-ti-super-3x-oc-16-gb-gddr6x-dlss3-opiniones.jpg;MSI Ventus GeForce RTX 4070 Ti SUPER 3X OC 16 GB GDDR6X DLSS3;1099,99;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1086/10860454/1826-xfx-speedster-swft210-amd-radeon-rx-7700-xt-core-edition-12gb-gddr6.jpg;XFX SPEEDSTER SWFT210 AMD Radeon RX 7700 XT Core Edition 12GB GDDR6;499;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10810491/1558-msi-geforce-rtx-4070-super-ventus-2x-oc-12gb-gddr6x-dlss3.jpg;MSI GeForce RTX 4070 SUPER VENTUS 2X OC 12GB GDDR6X DLSS3;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/41/418588/160-asus-dual-geforce-rtx-3060-oc-edition-v2-12gb-gddr6.jpg;Asus Dual GeForce RTX 3060 OC Edition V2 12GB GDDR6;449,9;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10811870/1579-asus-dual-radeon-rx-7700-xt-oc-edition-12gb-gddr6.jpg;ASUS Dual Radeon RX 7700 XT OC Edition 12GB GDDR6;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1064/10646719/1268-xfx-speedster-merc310-amd-radeon-rx-7900xtx-black-gaming-24gb-gddr6.jpg;XFX SPEEDSTER MERC310 AMD Radeon RX 7900XTX Black Gaming 24GB GDDR6;1299,9;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1076/10767414/1229-xfx-speedster-qick-319-radeon-rx-7800-xt-core-edition-16gb-gddr6.jpg;XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition 16GB GDDR6;596,61;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1081/10811120/1573-pny-geforce-rtx-4070-super-oc-df-12gb-gddr6x-dlss3.jpg;PNY GeForce RTX 4070 SUPER OC DF 12GB GDDR6X DLSS3;;Gpu
https://thumb.pccomponentes.com/w-150-150/articles/1067/10671473/1292-xfx-speedster-swft-210-amd-radeon-rx-6650-xt-core-8gb-gddr6.jpg;XFX Speedster SWFT 210 AMD Radeon RX 6650 XT Core 8GB GDDR6;336,27;Gpu
